date,event_name,cost
"Thu, 2 Apr 2026",Spirit of Gravity,£5
"Fri, 3 Apr 2026",Unicorn Baby Slay presents Theatre For Babies,£6
"Sat, 4 Apr 2026",Just Lust,FREE
"Tue, 7 Apr 2026",*SOLD OUT* Spinnaker,FREE
"Wed, 8 Apr 2026",Tungüska,£3 (Booking Fee)
"Thu, 9 Apr 2026",The XLNTS,£8 (Booking Fee)
