date,event_name,cost
April 2,SideQuest Presents: TABI GERVIS - Single release party + Two Pounds Down + Tia Ice,£10
Apr 3,JOY. Presents: NICK AND JUNE,£13.20
Apr 3,The Virgin Vinyls (CLUB NIGHT),£11
Apr 4,SPAGETTI + A L P H A B E T presents: CLUB MAGIC + SUPPORT + INNERSTRINGS,Unknown
