date,event_name,cost,event_date
"Thu, 2 Apr 2026",Split Dogs **LOW TICKETS**,£12.50,2026-04-02
"Fri, 3 Apr 2026",*SOLD OUT* Kid Kapichi + Bones Ate Arfa & City Dog – Palestine Fundraiser,£9.50,2026-04-03
"Sat, 4 Apr 2026",Black Groove,£5,2026-04-04
"Tue, 7 Apr 2026",Cutflowers: EP Fundraiser,£6 + Booking Fee,2026-04-07
"Wed, 8 Apr 2026",Flatmoon,£4,2026-04-08
"Thu, 9 Apr 2026",Pastel,£19 + Booking Fee,2026-04-09
