date,event_name,cost
2026-04-14,Joshua Idehen,Unknown
2026-04-15,SPEED,27.50 adv
2026-04-16,Jordan Ward,18.50 adv
2026-04-17,Frank Turner,35 adv
2026-04-18,RNB MANIA | Brighton's R&B Festival,Unknown
