date,event_name,cost
Tue 14th Apr at 7:30 pm,Blame Mary + Benji Green’s Rubber Band + Black Light Arcade + Jack Keane,£5.25
Wed 15th Apr at 7:30 pm,The Rolling People + Star Print Clad + Matt Hennessey,£15.68
Thu 16th Apr at 7:30 pm,Slowburn. + And Now We’re All Doomed + The EMC + more,£10.00
Fri 17th Apr at 8:00 pm,Brown Horse,£17.39
Sat 18th Apr at 5:00 pm,Blight Fest Volume I – Saturday,£10.00
Sun 19th Apr at 6:00 pm,Blight Fest Volume I – Sunday,£10.00
