date,event_name,cost
Thu 2nd Apr at 8:00 pm,The Miserable Rich,£17.00
Fri 3rd Apr at 7:00 pm,Girls Of The Internet,£14.00
Sat 4th Apr at 7:30 pm,Salter Cane + The Equatorial Group + Skyscrapers,£8.00
Sun 5th Apr at 4:00 pm,Lightyear + Slow Gherkin *EARLY EVENING SHOW*,£20.00
Mon 6th Apr at 7:45 pm,Stereoglue + Luan Luan + Hot Rats,£4.00
Tue 7th Apr at 7:30 pm,Divorce Attorney + Ragdoll + M. Woodroe,£3
Wed 8th Apr at 7:30 pm,RIA RUA + Support,£8.00
Thu 9th Apr at 7:30 pm,AKU + Misgendered + True Intent + Splitting Gums,£8.00
