date,event_name,cost
"Tue, 14 Apr 2026",Mestengo,£5 (Booking Fee)
"Sat, 18 Apr 2026",Mindfall – Toru + Jack Duval,FREE
"Sat, 18 Apr 2026",Sweat,£6
